packet_rate,avg_latency,byte_rate,flow_count,tcp_ratio,udp_ratio,icmp_ratio,congested
795.8905,449.9677,275980.9743,94,0.8012,0.0655,0.1333,1
1251.8971,403.6053,246579.591,57,0.7206,0.1422,0.1372,1
214.8108,16.2901,5178.9778,6,0.6312,0.1085,0.2603,0
157.3685,3.4423,31436.3793,4,0.8391,0.1609,0.0,0
298.1275,11.9613,41710.8887,6,0.8309,0.1691,0.0,0
118.9123,43.2806,42261.5287,10,0.5415,0.2375,0.221,0
1021.5651,238.2418,309544.8204,54,0.846,0.1336,0.0204,1
1378.1263,414.2508,476755.9061,89,0.8488,0.0785,0.0727,1
16.2675,33.4202,9553.7412,3,0.7053,0.2947,0.0,0
669.2208,406.5457,477375.2131,24,0.889,0.0739,0.0371,1
14.8081,19.6597,27030.6293,8,0.6276,0.2637,0.1086,0
251.6411,47.9068,16118.6527,16,0.8049,0.102,0.0931,0
253.6165,22.3676,21730.8833,3,0.8455,0.1545,0.0,0
214.1071,15.6726,25786.3408,2,0.8886,0.1114,0.0,0
14.0967,19.4349,18094.3726,11,0.5879,0.1727,0.2395,0
75.2722,29.6256,38823.3831,2,0.5177,0.2182,0.2642,0
284.093,44.0969,48316.4819,5,0.5464,0.3073,0.1463,0
225.0902,20.8655,12506.7689,14,0.8643,0.1357,0.0,0
103.4107,24.6809,896.1755,17,0.7223,0.2293,0.0484,0
209.7814,24.1024,12029.6847,17,0.8869,0.1131,0.0,0
1045.8091,409.3553,376179.3108,40,0.8919,0.0538,0.0543,1
240.8831,30.9633,36905.2363,17,0.8242,0.1758,0.0,0
1183.282,285.8064,184192.2898,36,0.8645,0.1355,0.0,1
586.931,230.4388,233789.6045,49,0.8601,0.1399,0.0,1
42.435,31.7491,46435.7476,13,0.8238,0.0933,0.0829,0
139.513,20.0417,20625.9516,8,0.751,0.249,0.0,0
124.1937,41.6338,531.0449,5,0.5612,0.242,0.1968,0
1171.8559,91.1479,191031.0263,88,0.7503,0.2497,0.0,1
39.0833,15.5883,10219.2171,5,0.6706,0.3294,0.0,0
167.1042,4.7153,31083.3978,3,0.5298,0.0961,0.3741,0
1010.1215,461.6506,116817.5099,78,0.8719,0.1281,0.0,1
1500.1516,256.6159,392098.2885,15,0.765,0.0524,0.1826,1
105.0742,25.9806,48701.8618,14,0.844,0.156,0.0,0
180.7435,16.9719,42324.2711,18,0.7444,0.1414,0.1142,0
80.0089,18.0007,48766.921,18,0.8024,0.1976,0.0,0
111.9937,4.8789,22310.4955,1,0.7419,0.2581,0.0,0
1651.2993,354.3973,432879.0305,88,0.6852,0.2797,0.0351,1
124.0575,8.6793,11747.8861,1,0.5501,0.3204,0.1295,0
70.7011,32.5264,23571.3273,1,0.8092,0.1908,0.0,0
213.0029,29.0679,25451.431,2,0.7373,0.2627,0.0,0
101.1876,37.871,13280.0016,12,0.7485,0.2515,0.0,0
293.5959,36.4187,44504.6727,15,0.5455,0.1601,0.2944,0
1203.2643,353.519,417515.7204,79,0.9604,0.0396,0.0,1
28.8725,49.957,15892.2742,9,0.6023,0.3028,0.0949,0
56.5806,2.1912,38892.4004,18,0.5906,0.1887,0.2207,0
70.5071,39.9993,39798.2993,11,0.535,0.3395,0.1255,0
1748.4186,300.3054,196745.391,87,0.7412,0.1147,0.1441,1
283.2972,12.3113,3911.6069,10,0.636,0.1013,0.2627,0
134.5206,37.4364,46220.5451,8,0.8346,0.1442,0.0212,0
135.0848,23.1243,39131.6235,17,0.7418,0.2582,0.0,0
493.7345,275.8096,192509.8114,98,0.9502,0.0498,0.0,1
1324.0215,320.5284,251162.5517,18,0.8462,0.1538,0.0,1
151.9142,40.0523,24934.2723,16,0.7629,0.1098,0.1273,0
1760.3209,389.4286,84810.0238,19,0.9888,0.0112,0.0,1
12.4538,23.0343,40175.3428,1,0.8044,0.1014,0.0942,0
64.5854,42.1813,17562.4183,14,0.8556,0.1421,0.0023,0
286.4291,26.4236,16330.8503,11,0.8174,0.1826,0.0,0
17.6789,40.8335,18031.5321,7,0.6195,0.2896,0.0909,0
36.4392,46.2071,45375.6185,1,0.6999,0.25,0.0501,0
143.1458,29.5656,22401.2002,2,0.6205,0.0535,0.326,0
20.6241,28.3889,8064.8428,5,0.7784,0.1314,0.0903,0
171.7036,11.3152,41614.2803,9,0.8836,0.0962,0.0202,0
76.6674,12.2612,13574.1646,6,0.5155,0.1004,0.3841,0
234.1195,33.7313,6996.6979,12,0.5406,0.2282,0.2313,0
126.3668,38.2162,866.7654,19,0.5969,0.2414,0.1617,0
159.2425,21.0254,14783.3051,11,0.8869,0.1131,0.0,0
193.1827,5.583,33248.7394,10,0.8258,0.1742,0.0,0
134.454,48.0259,13971.6579,8,0.7843,0.2157,0.0,0
279.4803,42.2982,41519.7436,7,0.5791,0.1025,0.3185,0
227.8408,36.5253,26961.1622,10,0.6218,0.0972,0.281,0
226.5887,43.2999,8995.4287,4,0.8544,0.1456,0.0,0
983.7559,316.0951,131736.223,69,0.755,0.1027,0.1423,1
31.7904,6.7472,49960.9669,9,0.867,0.133,0.0,0
76.0583,40.4,33042.2328,14,0.886,0.114,0.0,0
89.7879,10.0723,19379.5693,2,0.7778,0.2222,0.0,0
138.9595,30.6454,21725.2002,6,0.7578,0.1992,0.0429,0
41.5134,10.2028,31808.4151,14,0.8385,0.1615,0.0,0
130.8341,21.8703,12167.9051,9,0.587,0.1698,0.2432,0
175.4477,21.7408,35473.7306,18,0.7771,0.2229,0.0,0
109.8009,5.1679,39765.5856,16,0.5779,0.1787,0.2435,0
175.1971,15.8527,34470.5694,3,0.6109,0.2406,0.1485,0
64.6575,34.9787,40724.0281,4,0.542,0.0526,0.4054,0
969.9639,318.7843,478056.0703,84,0.9895,0.0105,0.0,1
1016.6468,392.9609,318855.7576,47,0.7775,0.2225,0.0,1
141.9194,48.8093,1915.3135,7,0.725,0.1198,0.1552,0
189.216,4.1595,2262.0328,18,0.8411,0.1589,0.0,0
222.9024,26.5654,1205.4497,8,0.7227,0.0705,0.2067,0
821.1644,466.2126,162497.4993,44,0.7366,0.2634,0.0,1
266.5045,33.1238,14634.5023,17,0.6321,0.0805,0.2873,0
211.2731,29.9171,2246.0502,13,0.6013,0.296,0.1027,0
81.0172,2.5467,11159.2649,11,0.6985,0.0621,0.2395,0
164.0911,19.363,18897.3072,16,0.6188,0.3221,0.0591,0
76.5992,47.4644,1709.2666,8,0.8381,0.1619,0.0,0
83.884,17.6216,26234.2955,18,0.5788,0.0645,0.3567,0
257.9975,17.7382,33163.1671,6,0.7769,0.2231,0.0,0
205.9671,27.1945,31224.9029,3,0.8105,0.1895,0.0,0
474.2083,155.6866,475493.6392,63,0.621,0.0262,0.3528,1
292.8673,2.2569,18129.6947,9,0.5524,0.0571,0.3904,0
160.0765,36.6104,2624.9544,12,0.6314,0.1358,0.2328,0
50.1884,49.2455,26789.5159,9,0.7403,0.2597,0.0,0
159.2291,48.09,43631.9647,5,0.633,0.0722,0.2948,0
54.9107,46.6645,19380.3328,5,0.6958,0.1837,0.1205,0
1830.2634,172.3061,243505.1514,19,0.9901,0.0099,0.0,1
688.2202,91.6267,80521.9255,79,0.952,0.048,0.0,1
69.6877,42.6281,32194.3362,2,0.8119,0.1548,0.0333,0
136.8855,1.2064,16519.6968,17,0.5236,0.0802,0.3962,0
277.6743,35.4976,28368.6923,10,0.8201,0.1799,0.0,0
146.8454,17.0309,4200.1635,18,0.5498,0.0594,0.3908,0
200.7886,19.1814,24268.7796,13,0.6135,0.2832,0.1034,0
75.4219,30.327,34067.9757,7,0.643,0.2277,0.1293,0
65.8954,28.5594,34376.9055,3,0.6566,0.159,0.1844,0
195.8577,48.1155,42086.3724,19,0.8197,0.1803,0.0,0
158.6595,12.129,7282.5264,6,0.8584,0.1416,0.0,0
235.7963,39.6344,15397.4277,5,0.7686,0.1992,0.0322,0
19.5872,34.0614,47576.0279,3,0.8976,0.1024,0.0,0
241.206,41.4386,38638.6304,2,0.8942,0.1058,0.0,0
51.2101,23.9978,500.9524,5,0.7281,0.2509,0.021,0
1274.6485,320.1226,99175.069,59,0.6899,0.2835,0.0266,1
165.5811,49.5112,15065.0856,6,0.5785,0.3693,0.0521,0
39.0955,14.3879,19435.3181,3,0.5405,0.0714,0.3882,0
1685.4244,293.5362,257413.5951,16,0.7768,0.1924,0.0308,1
670.5414,151.6542,338086.2105,71,0.7841,0.1809,0.035,1
176.3964,3.9121,9663.9116,1,0.5952,0.3413,0.0636,0
827.4816,113.15,360206.3409,64,0.9802,0.0198,0.0,1
191.7642,2.6644,6407.9888,8,0.7447,0.2553,0.0,0
235.4474,27.2806,29949.9028,9,0.6741,0.2016,0.1243,0
778.4639,145.182,285393.7081,58,0.8988,0.1012,0.0,1
299.9319,11.0171,5107.3644,11,0.723,0.1511,0.1259,0
50.1332,39.4497,48532.1656,9,0.7403,0.1574,0.1023,0
224.9948,6.4386,43344.1162,16,0.7666,0.2334,0.0,0
1027.1755,80.2704,362522.7065,15,0.683,0.1436,0.1734,1
1241.5751,473.2118,342267.1591,93,0.7951,0.2049,0.0,1
1008.67,173.6991,137664.2591,15,0.7573,0.2427,0.0,1
1146.0234,265.1605,140569.002,34,0.7832,0.152,0.0648,1
149.5989,11.5077,30154.0244,5,0.6215,0.1414,0.237,0
168.3557,5.6716,17987.0195,10,0.5778,0.0831,0.3392,0
278.9931,9.7239,33432.7399,4,0.8388,0.1612,0.0,0
153.3353,28.9793,34135.2196,8,0.8213,0.1787,0.0,0
181.6039,2.046,46562.6207,2,0.6757,0.323,0.0013,0
32.6951,44.5519,34266.4223,1,0.7173,0.1637,0.1189,0
86.8562,18.1342,5163.9655,9,0.6615,0.2285,0.1101,0
631.8484,136.2864,162790.3413,44,0.618,0.1419,0.2401,1
1040.2374,99.5639,232502.8827,30,0.6843,0.132,0.1837,1
1823.1237,88.9364,499698.7541,69,0.9004,0.0996,0.0,1
567.9725,237.367,120670.2638,56,0.7789,0.1643,0.0568,1
201.0636,40.0825,37703.3967,10,0.7428,0.2572,0.0,0
816.349,173.9893,267160.361,68,0.9916,0.0084,0.0,1
98.6821,26.7134,22375.166,4,0.8926,0.1074,0.0,0
49.7913,38.894,34448.106,6,0.5874,0.1696,0.243,0
252.1865,46.8272,1275.6564,12,0.7233,0.2767,0.0,0
59.3925,47.1131,35344.9625,16,0.5786,0.3492,0.0722,0
268.6476,38.067,2288.3537,18,0.6702,0.1804,0.1494,0
82.369,10.9848,11354.9369,16,0.8854,0.1146,0.0,0
246.6735,19.9293,38322.6587,8,0.8438,0.0677,0.0885,0
36.5524,25.9439,19232.9305,19,0.812,0.188,0.0,0
252.4171,24.8896,2660.0626,4,0.6066,0.2017,0.1917,0
112.296,10.9326,37876.2089,14,0.5059,0.3229,0.1713,0
192.782,26.8106,38540.0808,18,0.5842,0.0698,0.346,0
273.0872,37.2645,43255.6084,10,0.7546,0.0929,0.1525,0
1855.8485,359.6766,415162.037,83,0.9114,0.077,0.0116,1
57.2576,7.7217,30970.7819,9,0.7241,0.2319,0.044,0
230.4798,43.8357,20948.6497,8,0.8443,0.1094,0.0463,0
84.7293,27.1355,3466.9987,3,0.8296,0.0811,0.0893,0
26.6179,3.3074,41359.3336,14,0.5999,0.0856,0.3145,0
43.7349,13.7716,3892.1181,12,0.7309,0.1739,0.0952,0
1488.4402,205.2228,181682.0127,69,0.6493,0.028,0.3227,1
858.1054,188.9024,296122.751,18,0.9553,0.0158,0.029,1
283.5809,3.7186,11925.1135,3,0.6904,0.3096,0.0,0
1324.8358,117.8027,119487.835,95,0.8104,0.1326,0.0571,1
60.0285,15.7973,39436.3543,7,0.7262,0.2181,0.0557,0
244.6012,27.6856,45748.5085,7,0.8005,0.1995,0.0,0
250.9041,10.0791,26829.665,2,0.776,0.224,0.0,0
147.7143,9.5501,48048.2491,2,0.8439,0.1561,0.0,0
258.946,14.5438,17108.2371,2,0.7065,0.1404,0.153,0
220.6063,14.3801,32478.621,14,0.8343,0.1657,0.0,0
47.8871,8.2317,29814.9748,12,0.5115,0.1779,0.3106,0
1646.0527,211.9886,319143.9917,77,0.9978,0.0022,0.0,1
701.7767,367.4573,220872.5747,99,0.653,0.0728,0.2741,1
145.8179,32.1524,46611.8921,9,0.5717,0.331,0.0973,0
222.7135,27.4241,29798.0302,4,0.876,0.124,0.0,0
65.7131,21.1469,8757.5602,3,0.6372,0.0601,0.3027,0
1498.5779,462.581,404612.6687,35,0.6116,0.277,0.1115,1
819.8531,419.5382,482034.7204,43,0.6793,0.2234,0.0973,1
276.5812,28.6319,15098.2867,16,0.7761,0.199,0.0249,0
1692.867,244.1437,235973.6915,68,0.7315,0.2255,0.043,1
115.8018,12.1381,7571.1189,16,0.5987,0.3239,0.0775,0
97.5949,28.6149,18205.8397,17,0.8681,0.1319,0.0,0
85.4536,49.0872,5514.4245,15,0.6152,0.2577,0.127,0
958.3414,493.9708,133096.2078,74,0.6563,0.2282,0.1155,1
1830.8761,490.7102,492832.7538,64,0.7394,0.2278,0.0328,1
1537.6078,317.3594,374535.7732,43,0.708,0.1808,0.1111,1
118.4863,2.9734,23799.2033,3,0.8426,0.1574,0.0,0
710.4104,484.2237,124612.7093,39,0.6611,0.0306,0.3083,1
39.9522,35.3268,24569.1748,8,0.8773,0.1227,0.0,0
260.5914,8.206,4295.0371,7,0.6368,0.2691,0.0941,0
154.3322,36.5847,38802.1131,6,0.6677,0.3323,0.0,0
212.9151,39.104,1029.6504,19,0.7633,0.2367,0.0,0
284.7674,49.0274,18629.0069,5,0.7625,0.2243,0.0132,0
39.8708,43.1354,43420.298,8,0.8729,0.1271,0.0,0
78.5483,46.8842,1530.2599,19,0.8566,0.1434,0.0,0
184.6146,24.3508,7683.4465,10,0.7802,0.1249,0.0949,0
297.9945,7.6089,12974.4092,1,0.7475,0.2525,0.0,0
258.6959,24.4186,4000.5652,10,0.769,0.231,0.0,0
1528.864,438.4038,171972.2312,49,0.9813,0.0187,0.0,1
52.4963,28.2544,26352.6006,9,0.8522,0.1478,0.0,0
68.1933,48.8037,2443.5802,18,0.5077,0.2082,0.2841,0
1767.5996,323.3787,257889.7575,39,0.6636,0.0344,0.302,1
114.1137,40.3748,14002.4687,12,0.5573,0.2913,0.1514,0
288.9503,1.2985,22014.8,19,0.7279,0.0954,0.1767,0
259.9293,35.6408,40123.0472,19,0.5361,0.1118,0.352,0
61.7481,12.8424,3143.6698,6,0.87,0.1045,0.0255,0
28.3523,45.4087,4847.5935,13,0.7312,0.2688,0.0,0
296.1231,12.3245,27659.3427,3,0.8255,0.1745,0.0,0
261.725,14.2239,18626.1927,5,0.7506,0.2494,0.0,0
278.1486,12.0743,33051.9942,13,0.769,0.231,0.0,0
670.592,306.7375,488390.0418,36,0.6055,0.1549,0.2396,1
215.4592,24.0725,36874.8703,17,0.8799,0.1201,0.0,0
501.5064,233.475,343814.5509,38,0.7708,0.1003,0.1289,1
422.361,386.7306,181189.1607,92,0.6687,0.251,0.0803,1
251.6752,25.0474,901.4398,16,0.8221,0.1779,0.0,0
135.8614,43.6793,26568.7639,6,0.7075,0.2925,0.0,0
124.0029,4.8626,25075.1059,7,0.6445,0.3555,0.0,0
235.9401,35.4558,3265.8941,10,0.7854,0.2146,0.0,0
1742.9587,208.0748,238990.7967,40,0.69,0.0763,0.2337,1
1824.5329,123.8558,379933.3133,37,0.7561,0.0806,0.1633,1
1582.0386,397.3922,158983.7622,38,0.8695,0.1305,0.0,1
692.0934,370.8858,418702.9893,86,0.8531,0.1227,0.0242,1
1002.8571,153.2375,105259.0268,92,0.759,0.2137,0.0273,1
170.9623,9.908,28182.2567,19,0.5361,0.3595,0.1044,0
1239.0878,243.9352,184568.1167,30,0.7511,0.1801,0.0687,1
902.7451,197.4381,227615.1408,36,0.7499,0.2222,0.0279,1
52.0878,19.9837,16265.9267,7,0.7839,0.2161,0.0,0
853.1585,195.1303,445766.6539,72,0.767,0.0905,0.1425,1
191.9196,6.178,6106.2504,7,0.8782,0.108,0.0138,0
128.1351,36.4158,33709.4589,8,0.807,0.193,0.0,0
125.0354,35.8176,11834.4803,16,0.5386,0.3113,0.1501,0
1978.6515,486.5252,144210.0377,69,0.9279,0.0721,0.0,1
241.781,9.138,45935.4949,9,0.5518,0.1435,0.3047,0
282.595,17.9129,24743.0052,15,0.5479,0.3307,0.1215,0
247.7667,18.1939,33216.2507,10,0.8891,0.1037,0.0072,0
139.032,42.5443,43246.3259,7,0.7507,0.2493,0.0,0
286.0314,31.4679,15780.4712,2,0.7567,0.2009,0.0424,0
200.3066,46.3119,44616.0707,3,0.8265,0.1735,0.0,0
216.0449,40.8924,29814.6321,3,0.5436,0.2056,0.2508,0
116.35,40.6935,8312.7121,5,0.5481,0.2448,0.2071,0
119.6782,31.1006,47807.6993,9,0.8588,0.1412,0.0,0
290.9382,34.7328,15806.5568,18,0.5446,0.1784,0.277,0
1918.5108,414.6133,314446.1496,50,0.6532,0.2679,0.0789,1
217.918,35.3782,36163.7811,15,0.5968,0.1051,0.2981,0
249.3659,24.3938,28691.1842,16,0.7835,0.2165,0.0,0
46.484,9.6998,36152.5834,15,0.8779,0.1221,0.0,0
1608.4292,149.0467,448449.7422,63,0.7023,0.2114,0.0862,1
109.9459,41.7694,47579.4771,6,0.7071,0.1015,0.1914,0
184.0793,12.6638,29290.596,8,0.5149,0.3103,0.1748,0
197.3369,34.2077,14210.1814,17,0.7899,0.1466,0.0635,0
221.6089,12.6294,1984.6181,17,0.5073,0.0772,0.4155,0
112.7077,16.1019,28327.046,7,0.6762,0.1073,0.2165,0
232.3939,8.8534,16146.2819,15,0.7591,0.1449,0.096,0
241.5453,33.1401,23408.101,6,0.8697,0.1303,0.0,0
162.9459,25.157,11760.0627,11,0.8773,0.1227,0.0,0
488.2177,178.9674,305833.4169,86,0.84,0.0618,0.0983,1
50.2098,33.7012,11688.4004,5,0.6939,0.1183,0.1877,0
105.7584,29.4111,3572.2211,11,0.5216,0.3074,0.171,0
97.0726,31.6484,27596.7642,11,0.7654,0.2346,0.0,0
89.7302,49.5976,29490.3578,9,0.6873,0.0999,0.2128,0
1374.6209,193.4583,347246.6687,86,0.6088,0.0914,0.2997,1
1661.9703,474.1513,219612.1347,65,0.6386,0.2117,0.1497,1
67.1183,16.74,42133.6822,9,0.5987,0.0875,0.3138,0
1357.4332,157.3951,215938.7294,94,0.6351,0.1775,0.1874,1
55.8926,2.3877,27547.5475,16,0.7662,0.1967,0.0371,0
87.9599,44.1514,44456.863,4,0.5798,0.2805,0.1397,0
253.8739,34.872,25007.4725,8,0.8219,0.1781,0.0,0
141.9283,18.7215,15425.1613,5,0.8529,0.0784,0.0687,0
261.3842,21.3061,23510.0048,2,0.5285,0.2605,0.211,0
1139.7393,81.8022,147942.4068,90,0.8257,0.1691,0.0052,1
181.7318,16.0,42983.8196,6,0.8742,0.1258,0.0,0
1930.0519,476.4985,271427.3076,99,0.6469,0.049,0.3041,1
102.7668,9.8698,44746.7045,11,0.5138,0.3583,0.1279,0
258.3064,33.12,13762.199,3,0.5905,0.3114,0.0982,0
71.7096,24.4732,20591.9437,6,0.5896,0.3057,0.1047,0
280.229,35.3829,6907.4047,13,0.5312,0.3686,0.1002,0
176.4761,21.4191,6295.7524,12,0.5767,0.2422,0.1811,0
278.1396,33.1156,33477.026,7,0.7759,0.2241,0.0,0
1679.6055,193.3687,256042.41,87,0.8243,0.0306,0.1451,1
82.3616,22.5478,26109.2887,17,0.7005,0.1195,0.18,0
71.6757,6.7085,38944.9002,16,0.5531,0.3992,0.0477,0
86.4079,32.1226,35890.8648,13,0.8117,0.1883,0.0,0
1021.1392,438.5289,285970.8043,67,0.9454,0.0546,0.0,1
163.9194,33.5978,31002.7951,3,0.5218,0.3086,0.1696,0
257.5528,13.9949,40845.0586,6,0.6008,0.3001,0.0991,0
59.2121,3.5609,46208.0259,9,0.5999,0.1721,0.228,0
22.9482,24.2623,30878.0086,16,0.862,0.138,0.0,0
229.4574,41.4696,22915.8893,2,0.8928,0.1072,0.0,0
244.0303,5.4063,42784.2044,10,0.8021,0.1979,0.0,0
1655.5007,259.0336,141803.6494,89,0.6934,0.0865,0.2201,1
276.6473,19.8964,2121.8561,13,0.7052,0.146,0.1488,0
95.945,34.1025,39173.9914,3,0.5605,0.3119,0.1276,0
258.3838,43.0106,44304.6074,10,0.7025,0.2975,0.0,0
93.6152,34.3223,5653.3316,5,0.8377,0.1623,0.0,0
779.6484,240.3384,158425.3954,27,0.9383,0.0617,0.0,1
1196.2724,457.4076,362719.967,70,0.7443,0.1888,0.0669,1
269.7804,14.9321,42817.2579,4,0.6856,0.2233,0.0911,0
1242.9802,122.6899,131512.5342,42,0.8738,0.1262,0.0,1
73.5649,6.8778,43802.8787,5,0.5923,0.1034,0.3043,0
295.5122,18.9172,1544.5531,14,0.8384,0.1616,0.0,0
